<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.18	18:00:00	103858.92	105154.77	103638.07	104851.47	1800	0	3098
2025.06.18	19:00:00	104845.31	105996.25	104427.37	105881.97	1800	0	3098
2025.06.18	20:00:00	105902.20	106712.22	105817.87	106520.31	1800	0	3098
2025.06.18	21:00:00	106540.61	106970.12	105909.37	106511.84	1799	0	3098
2025.06.18	22:00:00	106494.69	107050.67	106083.44	107020.94	1799	0	3098
2025.06.18	23:00:00	107019.66	107531.88	106697.24	107457.29	1800	0	3098
2025.06.19	00:00:00	107441.51	108417.12	107378.94	107483.13	1800	0	3098
2025.06.19	01:00:00	107526.57	107732.88	107021.24	107342.71	1800	0	3098
2025.06.19	02:00:00	107349.18	107936.09	107057.79	107703.86	1799	0	3098
2025.06.19	03:00:00	107698.72	107839.24	106869.01	107725.52	1800	0	3098
2025.06.19	04:00:00	107712.94	108246.22	106975.44	107175.23	1800	0	3098
2025.06.19	05:00:00	107187.89	108089.02	106939.60	107472.75	1800	0	3098
2025.06.19	06:00:00	107471.04	108517.48	107429.62	108479.98	1799	0	3098
2025.06.19	07:00:00	108453.88	110238.87	108352.51	109502.42	1800	0	3098
2025.06.19	08:00:00	109497.87	109855.93	109044.63	109746.79	1800	0	3098
2025.06.19	09:00:00	109752.56	109822.66	108263.60	108284.91	1800	0	3098
2025.06.19	10:00:00	108283.66	110357.29	108259.50	110071.57	1800	0	3098
2025.06.19	11:00:00	110035.27	110986.07	109749.65	109763.36	1800	0	3098
2025.06.19	12:00:00	109774.49	110377.06	109124.82	110336.33	1800	0	3098
2025.06.19	13:00:00	110347.80	110836.86	109524.10	110225.35	1799	0	3098
2025.06.19	14:00:00	110200.90	111084.56	109483.32	109603.62	1800	0	3098
2025.06.19	15:00:00	109598.29	109798.45	108537.23	108556.96	1800	0	3098
2025.06.19	16:00:00	108526.30	109851.52	108348.52	109141.65	1800	0	3098
