<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	15:00:00	96737.62	97070.17	96482.09	97054.10	450	0	2666
2025.01.02	15:15:00	97033.21	97578.78	96989.28	97521.63	450	0	2666
2025.01.02	15:30:00	97540.50	97610.49	96544.63	96668.30	450	0	2666
2025.01.02	15:45:00	96656.88	96702.57	96084.55	96646.90	450	0	2666
2025.01.02	16:00:00	96658.45	97795.64	96544.40	97783.29	450	0	2666
2025.01.02	16:15:00	97794.58	97794.58	97172.13	97407.85	450	0	2666
2025.01.02	16:30:00	97416.65	97972.77	97414.73	97929.11	450	0	2666
2025.01.02	16:45:00	97926.87	98268.77	97850.41	98199.28	450	0	2666
2025.01.02	17:00:00	98165.21	98496.03	98007.68	98319.78	450	0	2666
2025.01.02	17:15:00	98309.62	98676.41	97995.47	98296.11	450	0	2666
2025.01.02	17:30:00	98282.16	99161.77	98232.44	98962.83	450	0	2666
2025.01.02	17:45:00	98965.78	99341.07	98656.94	98715.48	450	0	2666
2025.01.02	18:00:00	98697.06	98879.35	98413.44	98674.98	450	0	2666
2025.01.02	18:15:00	98691.23	99102.03	98631.32	99000.39	450	0	2666
2025.01.02	18:30:00	99019.09	99209.01	98814.48	99083.35	450	0	2666
